S.No,PLAYER,TYPE,TEAM,RATING
1,Dawid Malan,BAT,ENG,841
2,Babar Azam,BAT,PAK,819
3,Aaron Finch,BAT,AUS,733
4,Virat Kohli,BAT,IND,717
5,Devon Conway,BAT,NZ,700
6,Lokesh Rahul,BAT,IND,699
7,Mohammad Rizwan,BAT,PAK,692
8,Quinton de Kock,BAT,SA,671
9,Evin Lewis,BAT,WI,664
10,Hazratullah,BAT,AFG,636
11,Aiden Markram,BAT,SA,634
12,Martin Guptill,BAT,NZ,622
13,Rassie van der Dussen,BAT,SA,616
14,Eoin Morgan,BAT,ENG,599
15,Paul Stirling,BAT,IRE,593
16,Jason Roy,BAT,ENG,592
17,Jos Buttler,BAT,ENG,590
18,Jonny Bairstow,BAT,ENG,588
19,Reeza Hendricks,BAT,SA,579
20,Rohit Sharma,BAT,IND,577
21,Rahmanullah Gurbaz,BAT,AFG,576
22,George Munsey,BAT,SCO,575
23,Mitchell Marsh,BAT,AUS,575
24,Mohammad Naim,BAT,BAN,574
25,Glenn Maxwell,BAT,AUS,567
26,Richard Berrington,BAT,SCO,565
27,Liam Livingstone,BAT,ENG,542
28,Colin Munro,BAT,NZ,535
29,Mahmudullah,BAT,BAN,527
30,Shikhar Dhawan,BAT,IND,526
31,Mohammad Nabi,BAT,AFG,523
32,Tim Seifert,BAT,NZ,518
33,Shreyas Iyer,BAT,IND,516
34,Tony Ura,BAT,PNG,503
35,David Miller,BAT,SA,503
36,Kevin O'Brien,BAT,IRE,496
37,Kusal Perera,BAT,SL,494
38,Andrew Balbirnie,BAT,IRE,494
39,Ben Cooper,BAT,NED,493
40,Glenn Phillips,BAT,NZ,492
41,Najibullah Zadran,BAT,AFG,492
42,Max O'Dowd,BAT,NED,491
43,Kyle Coetzer,BAT,SCO,489
44,Tom Latham,BAT,NZ,484
45,Jatinder Singh,BAT,OMA,482
46,Fakhar Zaman,BAT,PAK,481
47,Nicholas Pooran,BAT,WI,481
48,Suryakumar Yadav,BAT,IND,477
49,Calum MacLeod,BAT,SCO,474
50,Matthew Cross,BAT,SCO,473
51,Asghar Afghan,BAT,AFG,472
52,Kane Williamson,BAT,NZ,463
53,Muhammad Usman,BAT,UAE,458
54,Tim David,BAT,AUS,457
55,Shakib Al Hasan,BAT,BAN,451
56,Mohammad Hafeez,BAT,PAK,446
57,Kamran Khan,BAT,QAT,445
58,Lendl Simmons,BAT,WI,443
59,Kushal Bhurtel,BAT,NEP,442
60,Soumya Sarkar,BAT,BAN,436
61,Ravija Sandaruwan,BAT,KUW,435
62,Litton Das,BAT,BAN,435
63,Ramesh Satheesan,BAT,ROM,422
64,Gerhard Erasmus,BAT,NAM,421
65,Kieron Pollard,BAT,WI,417
66,Finn Allen,BAT,NZ,413
67,Nizakat Khan,BAT,HK,405
68,D'Arcy Short,BAT,AUS,404
69,David Warner,BAT,AUS,401
70,Shimron Hetmyer,BAT,WI,401
71,Azhar Andani,BAT,POR,399
72,Danushka Gunathilaka,BAT,SL,398
73,Zeeshan Maqsood,BAT,OMA,398
74,Craig Ervine,BAT,ZIM,396
75,Wesley Madhevere,BAT,ZIM,393
76,Francois du Plessis,BAT,SA,393
77,Temba Bavuma,BAT,SA,387
78,Rishabh Pant,BAT,IND,383
79,Sean Williams,BAT,ZIM,383
80,Muhammad Tanveer,BAT,QAT,382
81,Ryan Burl,BAT,ZIM,382
82,Matthew Wade,BAT,AUS,378
83,Navneet Dhaliwal,BAT,CAN,375
84,Collins Obuya,BAT,KEN,372
85,Rohan Mustafa,BAT,UAE,370
86,Usman Ghani,BAT,AFG,367
87,Zeeshan Khan Kukikhel,BAT,HUN,364
88,Paras Khadka,BAT,NEP,362
89,Heinrich Klaasen,BAT,SA,361
90,Khawar Ali,BAT,OMA,360
91,Ryan ten Doeschate,BAT,NED,358
92,Gyanendra Malla,BAT,NEP,357
93,Nitish Kumar,BAT,CAN,356
94,Afif Hossain,BAT,BAN,355
95,Manish Pandey,BAT,IND,354
96,Steve Smith,BAT,AUS,352
97,Gareth Delany,BAT,IRE,351
98,Ross Taylor,BAT,NZ,351
99,Kusal Mendis,BAT,SL,351
100,Samiullah Shenwari,BAT,AFG,344
101,Tabraiz Shamsi,BOW,SA,775
102,Wanindu Hasaranga,BOW,SL,747
103,Rashid Khan,BOW,AFG,719
104,Adil Rashid,BOW,ENG,689
105,Mujeeb Ur Rahman,BOW,AFG,687
106,Ashton Agar,BOW,AUS,649
107,Adam Zampa,BOW,AUS,648
108,Mustafizur Rahman,BOW,BAN,626
109,Shakib Al Hasan,BOW,BAN,611
110,Tim Southee,BOW,NZ,605
111,Bhuvneshwar Kumar,BOW,IND,594
112,Chris Jordan,BOW,ENG,579
113,Ish Sodhi,BOW,NZ,578
114,Nasum Ahmed,BOW,BAN,576
115,Mark Watt,BOW,SCO,574
116,Fabian Allen,BOW,WI,572
117,Mark Wood,BOW,ENG,563
118,Washington Sundar,BOW,IND,562
119,Mitchell Santner,BOW,NZ,556
120,Mahedi Hasan,BOW,BAN,550
121,Mohammad Nabi,BOW,AFG,546
122,Sheldon Cottrell,BOW,WI,546
123,Shaheen Afridi,BOW,PAK,543
124,Lakshan Sandakan,BOW,SL,540
125,Alasdair Evans,BOW,SCO,532
126,Yuzvendra Chahal,BOW,IND,529
127,Karim Janat,BOW,AFG,527
128,Mark Adair,BOW,IRE,526
129,Bilal Khan,BOW,OMA,521
130,Dushmantha Chameera,BOW,SL,519
131,Shardul Thakur,BOW,IND,508
132,Hayden Walsh,BOW,WI,506
133,Jasprit Bumrah,BOW,IND,504
134,Mohammad Mohammad Saifuddin,BOW,BAN,502
135,Josh Hazlewood,BOW,AUS,502
136,Richard Ngarava,BOW,ZIM,501
137,Kane Richardson,BOW,AUS,501
138,Faheem Ashraf,BOW,PAK,498
139,Deepak Chahar,BOW,IND,497
140,Jofra Archer,BOW,ENG,495
141,George Linde,BOW,SA,493
142,Imad Wasim,BOW,PAK,484
143,Bjorn Fortuin,BOW,SA,480
144,Shadab Khan,BOW,PAK,478
145,Safyaan Sharif,BOW,SCO,478
146,Akila Dananjaya,BOW,SL,473
147,Blessing Muzarabani,BOW,ZIM,473
148,Mitchell Starc,BOW,AUS,472
149,Tom Curran,BOW,ENG,468
150,David Willey,BOW,ENG,468
151,Haris Rauf,BOW,PAK,467
152,Dwayne Bravo,BOW,WI,467
153,Lachlan Ferguson,BOW,NZ,466
154,Wellington Masakadza,BOW,ZIM,466
155,Ahmed Raza,BOW,UAE,463
156,Roelof van der Merwe,BOW,NED,463
157,Sam Curran,BOW,ENG,462
158,Lungi Ngidi,BOW,SA,458
159,Luke Jongwe,BOW,ZIM,458
160,Jason Holder,BOW,WI,456
161,Ajaz Patel,BOW,NZ,455
162,Paul van Meekeren,BOW,NED,454
163,Bernard Scholtz,BOW,NAM,452
164,Simi Singh,BOW,IRE,452
165,Brandon Glover,BOW,NED,449
166,Mohammad Hasnain,BOW,PAK,446
167,Hasan Ali,BOW,PAK,446
168,Khawar Ali,BOW,OMA,442
169,Mohammad Nawaz,BOW,PAK,440
170,Norman Vanua,BOW,PNG,437
171,Obed McCoy,BOW,WI,436
172,Pieter Seelaar,BOW,NED,436
173,Anrich Nortje,BOW,SA,433
174,Andrew Tye,BOW,AUS,428
175,Trent Boult,BOW,NZ,428
176,Beuran Hendricks,BOW,SA,426
177,Lasith Malinga,BOW,SL,424
178,Andile Phehlukwayo,BOW,SA,423
179,Mohammad Nadeem,BOW,OMA,420
180,Rohan Mustafa,BOW,UAE,412
181,Kagiso Rabada,BOW,SA,408
182,Sandeep Lamichhane,BOW,NEP,405
183,Sultan Ahmed,BOW,UAE,405
184,Pat Cummins,BOW,AUS,403
185,Kuldeep Yadav,BOW,IND,399
186,Hardik Pandya,BOW,IND,393
187,Krunal Pandya,BOW,IND,390
188,Timm van der Gugten,BOW,NED,389
189,Shem Ngoche,BOW,KEN,389
190,Zahoor Khan,BOW,UAE,386
191,Tendai Chatara,BOW,ZIM,386
192,Fred Klaassen,BOW,NED,383
193,Charles Amini,BOW,PNG,381
194,Craig Young,BOW,IRE,381
195,Billy Stanlake,BOW,AUS,379
196,Josh Davey,BOW,SCO,379
197,Naveen Murid,BOW,AFG,378
198,Mohammad Shoriful Islam,BOW,BAN,375
199,Joshua Little,BOW,IRE,373
200,Rachin Ravindra,BOW,NZ,372
201,Mohammad Nabi,FIE,BAN,285
202,Shakib Al Hasan,FIE,BAN,275
203,Richard Berrington,FIE,SCO,184
204,Khawar Ali,FIE,OMA,159
205,Rohan Mustafa,FIE,UAE,152
206,Glenn Maxwell,FIE,AUS,151
207,Mitchell Marsh,FIE,AUS,141
208,Zeeshan Maqsood,FIE,OMA,135
209,Sean Williams,FIE,ZIM,132
210,Ryan Burl,FIE,ZIM,131
211,Mahmudullah,FIE,BAN,130
212,Gareth Delany,FIE,IRE,123
213,Mohammad Hafeez,FIE,PAK,123
214,Collins Obuya,FIE,KEN,115
215,Norman Vanua,FIE,PNG,110
216,Wanindu Hasaranga,FIE,SL,108
217,Fabian Allen,FIE,WI,105
218,Karim Janat,FIE,AFG,104
219,Charles Amini,FIE,PNG,102
220,Hardik Pandya,FIE,IND,98
